Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
440,-29.82,30.84,30,N/A,Ashley,"Hepplewhite Road, Ashley, KwaZulu-Natal, 3608, South Africa",54,18.05548090106875,Durban,5.247833970665698,Amber,Amber,4.725640510621494,Risky,"{""loadshedding"": 4.6, ""interop"": 3.8205063827686714, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1721,-26.57,27.94,30,Vereeniging,N/A,"12 Nadia Street, Vereeniging, South Africa",68,42.06666392827328,Johannesburg,2.3219815717917722,Red,Red,3.1802692073288554,Risky,"{""loadshedding"": 3.2, ""interop"": 2.5033650916106946, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
141,-33.95,25.56,30,Port Elizaberth,N/A,"95 Hord Street, Port Elizaberth, South Africa",65,5.213606222503405,Port Elizabeth,16.09371376606336,Red,Red,3.5285337380416593,Risky,"{""loadshedding"": 3.5, ""interop"": 5.919171725520745, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
333,-29.93,30.92,30,Chatsworth,N/A,"591 Pasadena Crescent, Chatsworth, South Africa",55,12.615920233753672,Durban,7.344343847733584,Amber,Amber,4.74890768727844,Risky,"{""loadshedding"": 4.5, ""interop"": 4.423846090980502, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
426,-29.96,30.85,30,Umlazi,N/A,"Street, Umlazi, South Africa",51,20.026977529287702,Durban,4.755795256865314,Amber,Amber,4.786957240645495,Risky,"{""loadshedding"": 4.9, ""interop"": 3.649465508068681, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
322,-29.88,30.92,30,Queensburgh,N/A,"4 Purity Lane, Queensburgh, South Africa",64,10.097673281935057,Durban,9.010897821508348,Red,Red,3.464282717914526,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 4.803533973931572, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
314,-29.44,30.1,30,Lidgetton West,N/A,"Lidgetton West, South Africa",62,100.51151869101648,Durban,0.9851098800362028,Red,Red,3.2443793518536594,Risky,"{""loadshedding"": 3.8, ""interop"": 1.4297418981707422, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1416,-25.77,28.28,60,Pretoria,Lynnwood Glen,"82 Clearwater Road, Lynnwood Glen, Pretoria, 0081, South Africa",32,5.64079980040688,Pretoria,15.058427148168663,Green,Green,7.35811176292585,Amber,"{""loadshedding"": 6.8, ""interop"": 5.788897036573125, ""security"": 8.5, ""demand"": 6.0, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
1742,-25.95,29.24,30,Emalahleni Local Municipality,Emalahleni Ward 19,"Emalahleni Ward 19, Emalahleni Local Municipality, 1032, South Africa",56,103.60643225458008,Pretoria,0.9559641586535574,Amber,Amber,4.481912018053243,Risky,"{""loadshedding"": 4.4, ""interop"": 1.398900225665537, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
2242,-33.87,18.62,30,Bellville,N/A,"47 Kommandeur Street, Bellville, South Africa",57,19.083506953932257,Cape Town,4.979210066716981,Amber,Amber,4.643309685774297,Risky,"{""loadshedding"": 4.3, ""interop"": 3.728871072178717, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
661,-33.95,18.59,30,Elsiesriver,Bishop Lavis,"Swan Road, Bishop Lavis, Elsiesriver, 7490, South Africa",54,15.55710799664526,Cape Town,6.039702103788996,Amber,Amber,4.745546470124937,Risky,"{""loadshedding"": 4.6, ""interop"": 4.069330876561711, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
2179,-34.14,18.43,30,Fish Hoek,N/A,"134 Main Road, Fish Hoek, South Africa",55,23.924207145171057,Cape Town,4.012163733736843,Amber,Amber,4.66388041744417,Risky,"{""loadshedding"": 4.5, ""interop"": 3.361005218052121, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
9598,-33.87,18.64,30,Bellville,N/A,"Pasita Road, Bellville, South Africa",67,20.840797494487617,Cape Town,4.57858739019209,Red,Red,3.291740727664606,Risky,"{""loadshedding"": 3.3, ""interop"": 3.5842590958075697, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
5799,-25.27,27.23,30,Moses Kotane Local Municipality,Moses Kotane Ward 15,"P53, Moses Kotane Ward 15, Moses Kotane Local Municipality, 0314, South Africa",49,113.49377404345307,Pretoria,0.8734099372254744,Amber,Amber,4.649718546014933,Risky,"{""loadshedding"": 5.1, ""interop"": 1.3089818251866612, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1771,-25.86,28.19,30,Centurion,N/A,"Centurion, South Africa",61,13.071080273987608,Pretoria,7.106774892391469,Red,Red,3.504089493989669,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 4.363618674870863, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1318,-25.51,27.1,30,Rustenburg Local Municipality,Rustenburg Ward 1,"R565, Rustenburg Ward 1, Rustenburg Local Municipality, South Africa",60,116.26673473890509,Pretoria,0.8527567534190361,Red,Red,3.2828693244307434,Risky,"{""loadshedding"": 4.0, ""interop"": 1.2858665553842936, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
19,-27.92,24.84,30,Jan Kempdorp,N/A,"Jan Kempdorp, South Africa",63,186.74249743097744,Bloemfontein,0.5326444538044163,Red,Red,3.1762282391080356,Risky,"{""loadshedding"": 3.7, ""interop"": 0.8903529888504518, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
214,-29.91,30.9,30,Chatsworth,N/A,"18 Florence Nightingale Drive, Chatsworth, South Africa",57,13.05488103428723,Durban,7.114965950693394,Amber,Amber,4.694257956151914,Risky,"{""loadshedding"": 4.3, ""interop"": 4.365724451898932, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1682,-25.67,28.26,60,Pretoria,Derdepoort Tuindorp,"unnamed road, Derdepoort Tuindorp, Pretoria, 0017, South Africa",39,9.191953926159162,Pretoria,9.811661308960117,Green,Green,7.1171191451860105,Amber,"{""loadshedding"": 6.1, ""interop"": 4.963989314825132, ""security"": 8.5, ""demand"": 6.0, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
