Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
1742,Openserve Property,-25.95,29.24,"Emalahleni Ward 19, Emalahleni Local Municipality, 1032, South Africa",Emalahleni Local Municipality,Emalahleni Ward 19,1032
2242,Openserve Property,-33.87,18.62,"47 Kommandeur Street, Bellville, South Africa",Bellville,N/A,
661,Openserve Property,-33.95,18.59,"Swan Road, Bishop Lavis, Elsiesriver, 7490, South Africa",Elsiesriver,Bishop Lavis,7490
2179,Openserve Property,-34.14,18.43,"134 Main Road, Fish Hoek, South Africa",Fish Hoek,N/A,
9598,Openserve Property,-33.87,18.64,"Pasita Road, Bellville, South Africa",Bellville,N/A,
5799,Openserve Property,-25.27,27.23,"P53, Moses Kotane Ward 15, Moses Kotane Local Municipality, 0314, South Africa",Moses Kotane Local Municipality,Moses Kotane Ward 15,0314
1771,Openserve Property,-25.86,28.19,"Centurion, South Africa",Centurion,N/A,
1318,Openserve Property,-25.51,27.1,"R565, Rustenburg Ward 1, Rustenburg Local Municipality, South Africa",Rustenburg Local Municipality,Rustenburg Ward 1,N/A
19,Openserve Property,-27.92,24.84,"Jan Kempdorp, South Africa",Jan Kempdorp,N/A,
214,Openserve Property,-29.91,30.9,"18 Florence Nightingale Drive, Chatsworth, South Africa",Chatsworth,N/A,
1682,Openserve Property,-25.67,28.26,"unnamed road, Derdepoort Tuindorp, Pretoria, 0017, South Africa",Pretoria,Derdepoort Tuindorp,0017
1823,Openserve Property,-28.18,30.15,"5 Tungsten Street, Glencoe, South Africa",Glencoe,N/A,
1783,Openserve Property,-26.83,26.68,"31 Flamboyant Street, Klerksdorp, South Africa",Klerksdorp,N/A,
1538,Openserve Property,-25.66,28.08,"7370 Longmore Road, Pretoria, South Africa",Pretoria,N/A,
1271,Openserve Property,-23.88,29.47,"226 Bayman Street, Polokwane, South Africa",Polokwane,N/A,
5837,Openserve Property,-32.79,26.84,"Alice, South Africa",Alice,N/A,
447,Openserve Property,-28.77,32.01,"Geleiergang Street, Alton, Richards Bay, South Africa",Richards Bay,Alton,N/A
6371,Openserve Property,-28.54,28.86,"Tebang, South Africa",Tebang,N/A,
438,Openserve Property,-29.92,31,"86 Wentworth Road, Durban, South Africa",Durban,N/A,
757,Openserve Property,-33.92,18.68,"School Street, Soneike, Kuilsrivier, 7580, South Africa",Kuilsrivier,Soneike,7580
659,Openserve Property,-33.89,18.65,"56 Peperdruif Street, Bellville, South Africa",Bellville,N/A,
2175,Openserve Property,-34,18.73,"Stasis Road, Kuils River, South Africa",Kuils River,N/A,
275,Openserve Property,-30.26,30.19,"R612, Highflats, South Africa",Highflats,N/A,
68,Openserve Property,-32.75,25.8,"unnamed road, Blue Crane Route Ward 6, Blue Crane Route Local Municipality, South Africa",Blue Crane Route Local Municipality,Blue Crane Route Ward 6,N/A
12350,Openserve Property,-29.81,30.98,"84017 Track, Kennedy Road, Durban, 4091, South Africa",Durban,Kennedy Road,4091
263,Openserve Property,-29.03,31.59,"R66, uMlalazi Ward 19, uMlalazi Local Municipality, South Africa",uMlalazi Local Municipality,uMlalazi Ward 19,N/A
3240,Openserve Property,-23.01,29.01,"Blouberg Local Municipality, Capricorn District Municipality, South Africa",N/A,Blouberg Local Municipality,N/A
1840,Openserve Property,-29.01,30.01,"Umtshezi Ward 9, Umtshezi Local Municipality, Uthukela District Municipality, South Africa",Umtshezi Local Municipality,Umtshezi Ward 9,N/A
332,Openserve Property,-27.62,32.03,"unnamed road, Jozini Ward 20, Jozini Local Municipality, 3965, South Africa",Jozini Local Municipality,Jozini Ward 20,3965
499,Openserve Property,-28.87,27.88,"Veldt Street, Setsoto Ward 15, Setsoto Local Municipality, 9730, South Africa",Setsoto Local Municipality,Setsoto Ward 15,9730
7651,Openserve Property,-29.86,30.86,"38 Wiltshire Road, Pinetown, South Africa",Pinetown,N/A,
5192,Openserve Property,-25.87,28,"Centurion, South Africa",Centurion,N/A,
1040,Openserve Property,-26.35,28.2,"6160 Dlomo Road, Vosloorus, South Africa",Vosloorus,N/A,
778,Openserve Property,-33.79,20.13,"Van Riebeeck Street, Langeberg Local Municipality, 6720, South Africa",Langeberg Local Municipality,N/A,6720
12008,Openserve Property,-25.81,25.63,"Nelson Mandela Drive, Molelwane, Mahikeng, 2790, South Africa",Mahikeng,Molelwane,2790
1543,Openserve Property,-26.62,30.66,"109 Lanyon Street, Amsterdam, South Africa",Amsterdam,N/A,
6107,Openserve Property,-26.28,25.11,"unnamed road, Ratlou Ward 13, Ratlou Local Municipality, South Africa",Ratlou Local Municipality,Ratlou Ward 13,N/A
1782,Openserve Property,-26.76,27.12,"unnamed road, Tlokwe Ward 2, Potchefstroom, 3747, South Africa",Potchefstroom,Tlokwe Ward 2,3747
1838,Openserve Property,-29.01,30,"Umtshezi Ward 9, Umtshezi Local Municipality, Uthukela District Municipality, South Africa",Umtshezi Local Municipality,Umtshezi Ward 9,N/A
935,Openserve Property,-26.21,27.66,"1 Sneeuberg Street, Randfontein, South Africa",Randfontein,N/A,
17,Openserve Property,-28.71,24.75,"2 Maureen Street, Kimberley, South Africa",Kimberley,N/A,
11502,Openserve Property,-25.86,25.64,"30 Carrington Street, Mafikeng, South Africa",Mafikeng,N/A,
11189,Openserve Property,-31.6,28.8,"Null Road, Mthatha, South Africa",Mthatha,N/A,
6,Openserve Property,-28.18,23.55,"Johanna van der Merwe Street, Kgatelopele Ward 2, Kgatelopele Local Municipality, South Africa",Kgatelopele Local Municipality,Kgatelopele Ward 2,N/A
385,Openserve Property,-29.65,30.34,"Pietermaritzburg, South Africa",Pietermaritzburg,N/A,
1700,Openserve Property,-23.9,29.45,"Landdros Mare Street, Polokwane Ward 23, Polokwane, 0750, South Africa",Polokwane,Polokwane Ward 23,0750
1677,Openserve Property,-22.35,30.04,"Campbell Street, Bergview Oos, Musina, South Africa",Musina,Bergview Oos,N/A
411,Openserve Property,-30.82,30.4,"4 Clive Road, Margate, South Africa",Margate,N/A,
1355,Openserve Property,-25.71,28.31,"John Sidney Drive, Eersterust, Gauteng, 0021, South Africa",N/A,Eersterust,0021
59,Openserve Property,-33.02,27.85,"24 Bishop Road, East London, South Africa",East London,N/A,
25142,Openserve Property,-27.2,25.3,"353 Phutiyagae Street, Schweizer-reneke, South Africa",Schweizer-reneke,N/A,
482,Openserve Property,-30.72,25.1,"Cambell Street, Colesberg, South Africa",Colesberg,N/A,
261,Openserve Property,-29.9,31.03,"Benjamin Road, Fynnland, Durban, 4052, South Africa",Durban,Fynnland,4052
4112,Openserve Property,-26.48,27.85,"Stretford, South Africa",Stretford,N/A,
1827,Openserve Property,-29.63,30.43,"The Msunduzi Nu, South Africa",The Msunduzi Nu,N/A,
1861,Openserve Property,-27.72,29.96,"66 Kobalt Road, Newcastle, South Africa",Newcastle,N/A,
4680,Openserve Property,-22.01,30.02,No result found,No result found,No result found,No result found
2883,Openserve Property,-33.89,18.56,"18 Louwtjie Rothman Street, Goodwood, South Africa",Goodwood,N/A,
2098,Openserve Property,-33.96,18.7,"Erika Road, Blackheath, Western Cape, 7580, South Africa",N/A,Blackheath,7580
90,Openserve Property,-33.93,25.42,"Old Cape Road, Nelson Mandela Bay Nu, South Africa",Nelson Mandela Bay Nu,N/A,
358,Openserve Property,-29.78,30.95,"Cornfield Crescent, Newlands, Durban, 7090, South Africa",Durban,Newlands,7090
176,Openserve Property,-33.98,25.49,"Sonop Street, Port Elizaberth, South Africa",Port Elizaberth,N/A,
1545,Openserve Property,-26.63,27.94,"18 Mint Street, Vereeniging, South Africa",Vereeniging,N/A,
852,Openserve Property,-34.02,20.44,"21 Buitekant Street, Swellendam, South Africa",Swellendam,N/A,
2237,Openserve Property,-33.99,19.29,"9 Victoria Street, Villiersdorp, South Africa",Villiersdorp,N/A,
24776,Openserve Property,-32.99,27.91,"4A Chamberlain Road, East London, South Africa",East London,N/A,
1377,Openserve Property,-25.44,31.68,"Sentrum Street, Nkomazi Ward 29, Nkomazi, South Africa",Nkomazi,Nkomazi Ward 29,N/A
1842,Openserve Property,-28.57,29.79,"Ladysmith, South Africa",Ladysmith,N/A,
1345,Openserve Property,-25.91,27.04,"Railway Street, Kgetlengrivier Ward 3, Kgetleng River Local Municipality, South Africa",Kgetleng River Local Municipality,Kgetlengrivier Ward 3,N/A
427,Openserve Property,-30.31,30.66,"Umzinto, South Africa",Umzinto,N/A,
1544,Openserve Property,-23.88,29.44,"25 Doornkraal Street, Polokwane, South Africa",Polokwane,N/A,
1646,Openserve Property,-23.9,29.5,"Thabo Mbeki Street, Polokwane Ward 20, Polokwane, 0787, South Africa",Polokwane,Polokwane Ward 20,0787
1760,Openserve Property,-26.87,26.63,"unnamed road, Freemanville, Klerksdorp, 2572, South Africa",Klerksdorp,Freemanville,2572
6265,Openserve Property,-22.23,30,"unnamed road, Arton Villa, Musina Local Municipality, South Africa",Musina Local Municipality,Arton Villa,N/A
1500,Openserve Property,-25.83,25.82,"Mahikeng Ward 28, Mahikeng Local Municipality, Ngaka Modiri Molema District Municipality, South Africa",Mahikeng Local Municipality,Mahikeng Ward 28,N/A
792,Openserve Property,-34.1,18.38,"Street, Noordhoek, South Africa",Noordhoek,N/A,
1542,Openserve Property,-26.31,27.76,"Westonaria Nu, South Africa",Westonaria Nu,N/A,
424,Openserve Property,-29.01,31,"unnamed road, Maphumulo Ward 2, Maphumulo Local Municipality, South Africa",Maphumulo Local Municipality,Maphumulo Ward 2,N/A
762,Openserve Property,-32.97,18.15,"2nd Street, Langebaanweg, South Africa",Langebaanweg,N/A,
10775,Openserve Property,-28.77,31.89,"35 Sigma Crescent, Empangeni, South Africa",Empangeni,N/A,
4,Openserve Property,-28.76,24.73,"Kimberley, South Africa",Kimberley,N/A,
1337,Openserve Property,-25.26,29.14,"unnamed road, Elias Motsoaledi Ward 9, Elias Motsoaledi Local Municipality, 1030, South Africa",Elias Motsoaledi Local Municipality,Elias Motsoaledi Ward 9,1030
2108,Openserve Property,-26.37,28.92,"10 Smits Street, Leandra, South Africa",Leandra,N/A,
5131,Openserve Property,-30.3,27.08,"Reichenberg Street, Mohokare Ward 5, Mohokare Local Municipality, South Africa",Mohokare Local Municipality,Mohokare Ward 5,N/A
2169,Openserve Property,-33.69,18.99,"Goniwe Street, Drakenstein Ward 16, Paarl, 7320, South Africa",Paarl,Drakenstein Ward 16,7320
12953,Openserve Property,-29.99,30.7,"Nungwane, South Africa",Nungwane,N/A,
5137,Openserve Property,-28.03,27.85,"S213, Nketoana Ward 5, Nketoana Local Municipality, South Africa",Nketoana Local Municipality,Nketoana Ward 5,N/A
1730,Openserve Property,-26.58,27.83,"Dingaka Street, Sebokeng Unit 19, Emfuleni Local Municipality, 1983, South Africa",Emfuleni Local Municipality,Sebokeng Unit 19,1983
2201,Openserve Property,-34.03,18.62,"31 Lantana Street, Mitchells Plain, South Africa",Mitchells Plain,N/A,
4885,Openserve Property,-29.86,30.86,"38 Wiltshire Road, Pinetown, South Africa",Pinetown,N/A,
557,Openserve Property,-29.75,31.02,"Kwamashu, South Africa",Kwamashu,N/A,
2217,Openserve Property,-34.01,18.63,"Tennyson Street, Mandalay, Western Cape, 7785, South Africa",N/A,Mandalay,7785
9953,Openserve Property,-26.18,26.13,"1190 Ifamu Street, Boikhutso, South Africa",Boikhutso,N/A,
1867,Openserve Property,-30.71,30.48,"Commercial Road, Hibiscus Coast Ward 16, Hibiscus Coast Local Municipality, 4241, South Africa",Hibiscus Coast Local Municipality,Hibiscus Coast Ward 16,4241
1526,Openserve Property,-25.33,31.02,"Pater Graham Street, Mbombela Ward 30, Mbombela, 1240, South Africa",Mbombela,Mbombela Ward 30,1240
1726,Openserve Property,-25.6,28,"6074 Makoto Street, Ga-rankuwa, South Africa",Ga-rankuwa,N/A,
1681,Openserve Property,-26.71,27.04,"Daniel Street, Promosa, Potchefstroom, 2539, South Africa",Potchefstroom,Promosa,2539
1763,Openserve Property,-25.79,29.5,"Street, Middelburg, South Africa",Middelburg,N/A,
3737,Openserve Property,-25.67,31.86,"Kamaqhekeza, South Africa",Kamaqhekeza,N/A,
101,Openserve Property,-34.05,23.1,"673 Harker Street, Knysna, South Africa",Knysna,N/A,
43544,Openserve Property,-33.32,27.34,"unnamed road, Ngqushwa Ward 11, Ngqushwa Local Municipality, South Africa",Ngqushwa Local Municipality,Ngqushwa Ward 11,N/A
28163,Openserve Property,-27.64,25.57,"Unknown Street, Boitumelong, South Africa",Boitumelong,N/A,
6103,Openserve Property,-29,25,"Letsemeng Ward 3, Letsemeng Local Municipality, Xhariep District Municipality, South Africa",Letsemeng Local Municipality,Letsemeng Ward 3,N/A
361,Openserve Property,-26.91,31.65,No result found,No result found,No result found,No result found
429,Openserve Property,-27.66,30.33,"15 Generaal Street, Utrecht, South Africa",Utrecht,N/A,
1789,Openserve Property,-25.64,27.23,"6A Mangaan Street, Rustenburg, South Africa",Rustenburg,N/A,
915,Openserve Property,-26.2,28.42,"Cloverfield Road, Dersley, Gauteng, 1520, South Africa",N/A,Dersley,1520
1716,Openserve Property,-25.38,30.98,"Solomon Street, Mbombela Ward 30, Mbombela, South Africa",Mbombela,Mbombela Ward 30,N/A
809,Openserve Property,-33.29,19.33,"Joubert Street, Witzenberg Ward 4, Witzenberg Local Municipality, South Africa",Witzenberg Local Municipality,Witzenberg Ward 4,N/A
3913,Openserve Property,-26.34,28.2,"Igologola Street, Ekurhuleni Ward 95, Gauteng, 1475, South Africa",N/A,Ekurhuleni Ward 95,1475
431,Openserve Property,-31.01,30.25,"Street, Port Edward, South Africa",Port Edward,N/A,
126,Openserve Property,-33.96,22.48,"54 Meyer Street, George, South Africa",George,N/A,
1915,Openserve Property,-27.03,28.6,"Frankfort Street, Mafube Ward 4, Mafube Local Municipality, 9840, South Africa",Mafube Local Municipality,Mafube Ward 4,9840
1889,Openserve Property,-28.29,29.02,"8 Street, Tshiame, South Africa",Tshiame,N/A,
1252,Openserve Property,-32.58,27.89,"14 Camp Street, Komga, South Africa",Komga,N/A,
76,Openserve Property,-24.15,28.98,"Dudu Madisha Drive, Mogalakwena Ward 27, Mogalakwena Local Municipality, 0728, South Africa",Mogalakwena Local Municipality,Mogalakwena Ward 27,0728
518,Openserve Property,-29.53,27.14,"Anderson Street, Hobhouse, South Africa",Hobhouse,N/A,
1832,Openserve Property,-30.76,30.41,"P200, Hibiscus Coast Ward 20, Hibiscus Coast Local Municipality, 4240, South Africa",Hibiscus Coast Local Municipality,Hibiscus Coast Ward 20,4240
1328,Openserve Property,-26.04,29.33,"unnamed road, Springbok, Emalahleni Local Municipality, 1451, South Africa",Emalahleni Local Municipality,Springbok,1451
1637,Openserve Property,-26.42,29.1,"9 Joel Road, Kinross, South Africa",Kinross,N/A,
1607,Openserve Property,-33.83,20.05,"11 Kort Street, Ashton, South Africa",Ashton,N/A,
162,Openserve Property,-33.99,22.48,"King Street, Lawaaikamp, George, 6519, South Africa",George,Lawaaikamp,6519
2332,Openserve Property,-28.54,24.53,"0 Street, Barkly West, South Africa",Barkly West,N/A,
5099,Openserve Property,-30,24.74,"39 Madelifie Street, Vanderkloof, South Africa",Vanderkloof,N/A,
9943,Openserve Property,-31.55,29.02,"Null, Mareweni, South Africa",Mareweni,N/A,
1539,Openserve Property,-26.87,26.58,"60 Nieuwehoudt Avenue, Klerksdorp, South Africa",Klerksdorp,N/A,
2339,Openserve Property,-28.02,23,"Tsantsabane Ward 6, Tsantsabane Local Municipality, ZF Mgcawu District Municipality, South Africa",Tsantsabane Local Municipality,Tsantsabane Ward 6,N/A
323,Openserve Property,-29.15,31.41,"Mandeni, South Africa",Mandeni,N/A,
1692,Openserve Property,-25.02,30,"Greater Tubatse Ward 31, Greater Tubatse Local Municipality, 1133, South Africa",Greater Tubatse Local Municipality,Greater Tubatse Ward 31,1133
1685,Openserve Property,-27.16,30.86,"unnamed road, Mkhondo Ward 9, Mkhondo Local Municipality, South Africa",Mkhondo Local Municipality,Mkhondo Ward 9,N/A
11190,Openserve Property,-31.61,28.75,"18 C K Madikizela Street, Mthatha, South Africa",Mthatha,N/A,
3914,Openserve Property,-26.35,28.22,"6781 Montinyane Street, Vosloorus, South Africa",Vosloorus,N/A,
6076,Openserve Property,-30.03,30.91,"Durban, South Africa",Durban,N/A,
7866,Openserve Property,-32.95,27.69,"627 Street, Mdantsane, South Africa",Mdantsane,N/A,
111,Openserve Property,-33.15,27.7,"Harmony Street, Buffalo City Ward 31, Kidd's Beach, South Africa",Kidd's Beach,Buffalo City Ward 31,N/A
5901,Openserve Property,-26.21,30.99,"Houtbos, South Africa",Houtbos,N/A,
1548,Openserve Property,-25.96,30.56,"Badplaas, South Africa",Badplaas,N/A,
1322,Openserve Property,-25.8,27.89,"Madibeng Nu, South Africa",Madibeng Nu,N/A,
73,Openserve Property,-32.97,27.83,"53 Klein Road, East London, South Africa",East London,N/A,
9705,Openserve Property,-29.01,26,"Mangaung Metropolitan Municipality, South Africa",N/A,N/A,N/A
5130,Openserve Property,-30.21,26.53,"Smithfield, South Africa",Smithfield,N/A,
1628,Openserve Property,-25.18,31.11,"Swalala, South Africa",Swalala,N/A,
1291,Openserve Property,-32.62,24.69,"unnamed road, Blue Crane Route Ward 4, Blue Crane Route Local Municipality, South Africa",Blue Crane Route Local Municipality,Blue Crane Route Ward 4,N/A
92,Openserve Property,-34.04,22.22,"Groot Brakrivier, South Africa",Groot Brakrivier,N/A,
2983,Openserve Property,-24.6,31.07,"Acornhoek, South Africa",Acornhoek,N/A,
533,Openserve Property,-29.41,25,"Luckhoff Road, Letsemeng Ward 5, Letsemeng Local Municipality, South Africa",Letsemeng Local Municipality,Letsemeng Ward 5,N/A
6405,Openserve Property,-30.86,29.85,"Null Street, Bizana, South Africa",Bizana,N/A,
506,Openserve Property,-28.94,26.33,"Mangaung Nu, South Africa",Mangaung Nu,N/A,
749,Openserve Property,-33.7,18.7,"Stillerust Road, Cape Town Ward 105, Western Cape, 7303, South Africa",N/A,Cape Town Ward 105,7303
4733,Openserve Property,-25.21,29.02,"Matshiding, South Africa",Matshiding,N/A,
2468,Openserve Property,-23.01,30.01,"Makhado Nu, South Africa",Makhado Nu,N/A,
558,Openserve Property,-28.9,27.88,"unnamed road, Setsoto Ward 14, Setsoto Local Municipality, South Africa",Setsoto Local Municipality,Setsoto Ward 14,N/A
1082,Openserve Property,-28.42,24.3,"Buys Street, Delportshoop, Dikgatlong Local Municipality, 8377, South Africa",Dikgatlong Local Municipality,Delportshoop,8377
1674,Openserve Property,-25.09,30.42,"Church Street, Thaba Chweu Ward 1, Thaba Chweu Local Municipality, 1120, South Africa",Thaba Chweu Local Municipality,Thaba Chweu Ward 1,1120
79,Openserve Property,-33.03,27.89,"Rayon Road, Buffalo City Ward 46, East London, 5208, South Africa",East London,Buffalo City Ward 46,5208
4103,Openserve Property,-25.66,27.26,"62 Dawes Street, Rustenburg, South Africa",Rustenburg,N/A,
30,Openserve Property,-28.45,21.21,"unnamed road, ǁKhara Hais Ward 10, Upington, 8815, South Africa",Upington,ǁKhara Hais Ward 10,8815
8796,Openserve Property,-28.74,32.08,"23 Pitpit Place, Richards Bay, South Africa",Richards Bay,N/A,
5245,Openserve Property,-30.07,30.84,"1 10146 Street, Illovo North, South Africa",Illovo North,N/A,
2243,Openserve Property,-33.84,19.02,"Street, Drakenstein Nu, South Africa",Drakenstein Nu,N/A,
2191,Openserve Property,-33.06,18.35,"20 Sand Street, Hopefield, South Africa",Hopefield,N/A,
4027,Openserve Property,-26.54,27.82,"unnamed road, Beverley Hills, Emfuleni Local Municipality, 1985, South Africa",Emfuleni Local Municipality,Beverley Hills,1985
636,Openserve Property,-29.73,27,"R26;R702, Naledi Ward 3, Naledi Local Municipality, 9944, South Africa",Naledi Local Municipality,Naledi Ward 3,9944
1834,Openserve Property,-28.72,32.04,"Gibbum Grove, Brackenham, Richards Bay, 3900, South Africa",Richards Bay,Brackenham,3900
1683,Openserve Property,-26.76,27.06,"D2036, Tlokwe Ward 2, Potchefstroom, 2539, South Africa",Potchefstroom,Tlokwe Ward 2,2539
1507,Openserve Property,-25.65,26.69,"Street, Swartruggens, South Africa",Swartruggens,N/A,
3824,Openserve Property,-24.71,29.41,"Elandskraal, South Africa",Elandskraal,N/A,
1794,Openserve Property,-27.72,29.92,"Loerie Avenue, Aviary Hill, Newcastle, 2955, South Africa",Newcastle,Aviary Hill,2955
871,Openserve Property,-34.67,20.23,"Street, Arniston, South Africa",Arniston,N/A,
2190,Openserve Property,-34.07,19.37,"unnamed road, Theewaterskloof Ward 5, Theewaterskloof Local Municipality, South Africa",Theewaterskloof Local Municipality,Theewaterskloof Ward 5,N/A
1632,Openserve Property,-26.02,26,"Ditsobotla Ward 10, Ditsobotla Local Municipality, Ngaka Modiri Molema District Municipality, South Africa",Ditsobotla Local Municipality,Ditsobotla Ward 10,N/A
2912,Openserve Property,-25.3,28.94,"unnamed road, Kwaggafontein, Thembisile Hani Local Municipality, 0458, South Africa",Thembisile Hani Local Municipality,Kwaggafontein,0458
1852,Openserve Property,-30.88,30.35,"760/15 Ridge Road, Margate, South Africa",Margate,N/A,
1389,Openserve Property,-25.54,31.33,"Nkomazi Nu, South Africa",Nkomazi Nu,N/A,
2981,Openserve Property,-25.52,31.35,"242 Misty Street, Matsulu, South Africa",Matsulu,N/A,
5950,Openserve Property,-22.91,30.23,"Mandala, South Africa",Mandala,N/A,
4114,Openserve Property,-26.73,27.59,"Vaaloewer Drive, Vaal Oewer, Emfuleni Local Municipality, 1911, South Africa",Emfuleni Local Municipality,Vaal Oewer,1911
1115,Openserve Property,-29.35,21.15,"Hope Street, Kai !Garib Ward 9, Kai !Garib Local Municipality, 8900, South Africa",Kai !Garib Local Municipality,Kai !Garib Ward 9,8900
53,Openserve Property,-33.95,22.42,"34 Oakland Village, George, South Africa",George,N/A,
155,Openserve Property,-31.91,26.92,"4 Watt Road, Queenstown, South Africa",Queenstown,N/A,
25131,Openserve Property,-31.92,26.86,"92 Oleander Drive, Queenstown, South Africa",Queenstown,N/A,
725,Openserve Property,-33.3,19.04,"521 Main Street, Gouda, South Africa",Gouda,N/A,
2225,Openserve Property,-34.2,18.37,"Beach Road, Scarborough, Western Cape, South Africa",N/A,Scarborough,N/A
9949,Openserve Property,-32.27,28.51,"unnamed road, Willowvale, Mbhashe Local Municipality, South Africa",Mbhashe Local Municipality,Willowvale,N/A
5980,Openserve Property,-30.53,27.37,"Street, Tienbank, South Africa",Tienbank,N/A,
110,Openserve Property,-34.01,23.42,"Keurboomstrand, South Africa",Keurboomstrand,N/A,
2238,Openserve Property,-34.41,19.28,"117 11th Street, Hermanus, South Africa",Hermanus,N/A,
1667,Openserve Property,-27.32,26,"Potgieter Street, Lebaleng, Maquassi Hills Local Municipality, South Africa",Maquassi Hills Local Municipality,Lebaleng,N/A
1380,Openserve Property,-26.16,29.71,"Beukes Street, Hendrina, South Africa",Hendrina,N/A,
423,Openserve Property,-29.67,31.12,"North Beach Road, Umdloti / eMdloti, 4350, South Africa",Umdloti / eMdloti,Umdloti / eMdloti,4350
2701,Openserve Property,-31.04,23.13,"Ubuntu Nu, South Africa",Ubuntu Nu,N/A,
1770,Openserve Property,-25.49,29.03,"R544, Thembisile Hani Ward 8, Thembisile Hani Local Municipality, South Africa",Thembisile Hani Local Municipality,Thembisile Hani Ward 8,N/A
4177,Openserve Property,-26.36,28.22,"Street, Vosloorus, South Africa",Vosloorus,N/A,
2197,Openserve Property,-31.78,18.63,"Gordon Street, Klawer, South Africa",Klawer,N/A,
1808,Openserve Property,-30.2,30.75,"12 300129 Street, Craigieburn, South Africa",Craigieburn,N/A,
1202,Openserve Property,-28.75,32.03,"Bronze Bar Street, uMhlathuze Ward 2, Richards Bay, 3900, South Africa",Richards Bay,uMhlathuze Ward 2,3900
21,Openserve Property,-28.44,21.29,"Patrys Road, Keidebees, Upington, 8815, South Africa",Upington,Keidebees,8815
12501,Openserve Property,-28.83,24.27,"Sol Plaatjie Nu, South Africa",Sol Plaatjie Nu,N/A,
1350,Openserve Property,-24.59,30.16,"Maglopi, South Africa",Maglopi,N/A,
57561,Openserve Property,-33.42,25.24,"R75, Sundays River Valley Ward 7, Sundays River Valley Local Municipality, South Africa",Sundays River Valley Local Municipality,Sundays River Valley Ward 7,N/A
3290,Openserve Property,-24.76,29.87,"Jane Furse, South Africa",Jane Furse,N/A,
1802,Openserve Property,-29.47,28.99,No result found,No result found,No result found,No result found
3107,Openserve Property,-33.46,18.71,"Darling Way, Wesbank, South Africa",Wesbank,N/A,
5092,Openserve Property,-29.02,24.63,"N12, Sol Plaatje Ward 26, Sol Plaatje Local Municipality, South Africa",Sol Plaatje Local Municipality,Sol Plaatje Ward 26,N/A
108,Openserve Property,-32.71,27.55,"Null, Emthonjini, South Africa",Emthonjini,N/A,
45565,Openserve Property,-29.83,30.96,"Lincoln Terrace, eThekwini Ward 24, Durban, 4001, South Africa",Durban,eThekwini Ward 24,4001
3989,Openserve Property,-27.78,30.06,"1724 Mf57 Street, Madadeni, South Africa",Madadeni,N/A,
1627,Openserve Property,-26.84,30.53,"1169 Unknown Street, Iswepe, South Africa",Iswepe,N/A,
768,Openserve Property,-33.98,18.77,"Lynedoch, South Africa",Lynedoch,N/A,
1673,Openserve Property,-23.59,28.4,"D2643, Marken, Mogalakwena Local Municipality, South Africa",Mogalakwena Local Municipality,Marken,N/A
1619,Openserve Property,-27.01,26.01,"Maquassi Hills, South Africa",Maquassi Hills,N/A,
6176,Openserve Property,-27.35,31.58,"611 Unknown Street, Ncotshane B, South Africa",Ncotshane B,N/A,
1858,Openserve Property,-29.67,30.34,"Edendale, South Africa",Edendale,N/A,
373,Openserve Property,-29.39,30.68,"R614, uMshwathi Ward 7, uMshwathi Local Municipality, South Africa",uMshwathi Local Municipality,uMshwathi Ward 7,N/A
11317,Openserve Property,-32.9,27.29,"unnamed road, KwaNonkcampa, Gwaba, South Africa",Gwaba,KwaNonkcampa,N/A
1589,Openserve Property,-23.69,30.14,"Mephisto Drive, Greater Letaba Ward 29, Greater Letaba Local Municipality, South Africa",Greater Letaba Local Municipality,Greater Letaba Ward 29,N/A
1644,Openserve Property,-25.65,27.81,"Street, Brits, South Africa",Brits,N/A,
148,Openserve Property,-34.01,22.45,"Beach Road, George Ward 14, George, 6534, South Africa",George,George Ward 14,6534
1879,Openserve Property,-27.24,28.85,"Null, Cornelia, South Africa",Cornelia,N/A,
2178,Openserve Property,-34.06,18.79,"N2, Firgrove, Somerset West, 7110, South Africa",Somerset West,Firgrove,7110
228,Openserve Property,-28.01,30.38,"Street, Endumeni Nu, South Africa",Endumeni Nu,N/A,
16782,Openserve Property,-33.94,22.04,"unnamed road, Mossel Bay Ward 14, George, South Africa",George,Mossel Bay Ward 14,N/A
1651,Openserve Property,-24.91,27.73,"unnamed road, Thabazimbi Ward 4, Thabazimbi Local Municipality, South Africa",Thabazimbi Local Municipality,Thabazimbi Ward 4,N/A
1868,Openserve Property,-30.64,30.53,"174 6th Avenue, Phumula, South Africa",Phumula,N/A,
1074,Openserve Property,-28.8,23.72,"35 Klieniek Street, Campbell, South Africa",Campbell,N/A,
416,Openserve Property,-29.73,30.38,"unnamed road, Richmond Ward 3, Richmond Local Municipality, South Africa",Richmond Local Municipality,Richmond Ward 3,N/A
1900,Openserve Property,-27.65,28.13,"306 Eeufees Street, Petrus Steyn, South Africa",Petrus Steyn,N/A,
1493,Openserve Property,-25.01,28,"unnamed road, Mnukubyane, Moretele Local Municipality, South Africa",Moretele Local Municipality,Mnukubyane,N/A
107,Openserve Property,-33.95,24.29,"Baken Street, Kagiso Heights, Kou-Kamma Local Municipality, 6400, South Africa",Kou-Kamma Local Municipality,Kagiso Heights,6400
